DIR,DATE,CLASS_NAME,OBJ_ID,BACKGROUND,LIGHT,INDOOR
augmentation/originalGrayDataset/Calcado/calcado-001.jpg,24-09-20,Calcado,calcado-01,Branco,Dia,TRUE
augmentation/originalGrayDataset/Calcado/calcado-002.jpg,24-09-20,Calcado,calcado-01,Branco,Dia,TRUE
augmentation/originalGrayDataset/Calcado/calcado-003.jpg,24-09-20,Calcado,calcado-01,Branco,Dia,TRUE
augmentation/originalGrayDataset/Calcado/calcado-004.jpg,24-09-20,Calcado,calcado-02,Branco,Dia,TRUE
augmentation/originalGrayDataset/Calcado/calcado-005.jpg,24-09-20,Calcado,calcado-02,Branco,Dia,TRUE
augmentation/originalGrayDataset/Calcado/calcado-006.jpg,24-09-20,Calcado,calcado-02,Branco,Dia,TRUE
augmentation/originalGrayDataset/Calcado/calcado-007.jpg,24-09-20,Calcado,calcado-03,Branco,Dia,TRUE
augmentation/originalGrayDataset/Calcado/calcado-008.jpg,24-09-20,Calcado,calcado-03,Branco,Dia,TRUE
augmentation/originalGrayDataset/Calcado/calcado-009.jpg,24-09-20,Calcado,calcado-03,Branco,Dia,TRUE
augmentation/originalGrayDataset/Calcado/calcado-010.jpg,24-09-20,Calcado,calcado-04,Branco,Dia,TRUE
augmentation/originalGrayDataset/Calcado/calcado-011.jpg,24-09-20,Calcado,calcado-04,Branco,Dia,TRUE
augmentation/originalGrayDataset/Calcado/calcado-012.jpg,24-09-20,Calcado,calcado-04,Branco,Dia,TRUE
augmentation/originalGrayDataset/Calcado/calcado-013.jpg,24-09-20,Calcado,calcado-01,Colorido,Dia,TRUE
augmentation/originalGrayDataset/Calcado/calcado-014.jpg,24-09-20,Calcado,calcado-01,Colorido,Dia,TRUE
augmentation/originalGrayDataset/Calcado/calcado-015.jpg,24-09-20,Calcado,calcado-01,Colorido,Dia,TRUE
augmentation/originalGrayDataset/Calcado/calcado-016.jpg,24-09-20,Calcado,calcado-02,Colorido,Dia,TRUE
augmentation/originalGrayDataset/Calcado/calcado-017.jpg,24-09-20,Calcado,calcado-02,Colorido,Dia,TRUE
augmentation/originalGrayDataset/Calcado/calcado-018.jpg,24-09-20,Calcado,calcado-02,Colorido,Dia,TRUE
augmentation/originalGrayDataset/Calcado/calcado-019.jpg,24-09-20,Calcado,calcado-03,Colorido,Dia,TRUE
augmentation/originalGrayDataset/Calcado/calcado-020.jpg,24-09-20,Calcado,calcado-03,Colorido,Dia,TRUE
augmentation/originalGrayDataset/Calcado/calcado-021.jpg,24-09-20,Calcado,calcado-03,Colorido,Dia,TRUE
augmentation/originalGrayDataset/Calcado/calcado-022.jpg,24-09-20,Calcado,calcado-04,Colorido,Dia,TRUE
augmentation/originalGrayDataset/Calcado/calcado-023.jpg,24-09-20,Calcado,calcado-04,Colorido,Dia,TRUE
augmentation/originalGrayDataset/Calcado/calcado-024.jpg,24-09-20,Calcado,calcado-04,Colorido,Dia,TRUE
augmentation/originalGrayDataset/Calcado/calcado-025.jpg,24-09-20,Calcado,calcado-01,Preto,Dia,TRUE
augmentation/originalGrayDataset/Calcado/calcado-026.jpg,24-09-20,Calcado,calcado-01,Preto,Dia,TRUE
augmentation/originalGrayDataset/Calcado/calcado-027.jpg,24-09-20,Calcado,calcado-01,Preto,Dia,TRUE
augmentation/originalGrayDataset/Calcado/calcado-028.jpg,24-09-20,Calcado,calcado-02,Preto,Dia,TRUE
augmentation/originalGrayDataset/Calcado/calcado-029.jpg,24-09-20,Calcado,calcado-02,Preto,Dia,TRUE
augmentation/originalGrayDataset/Calcado/calcado-030.jpg,24-09-20,Calcado,calcado-02,Preto,Dia,TRUE
augmentation/originalGrayDataset/Calcado/calcado-031.jpg,24-09-20,Calcado,calcado-03,Preto,Dia,TRUE
augmentation/originalGrayDataset/Calcado/calcado-032.jpg,24-09-20,Calcado,calcado-03,Preto,Dia,TRUE
augmentation/originalGrayDataset/Calcado/calcado-033.jpg,24-09-20,Calcado,calcado-03,Preto,Dia,TRUE
augmentation/originalGrayDataset/Calcado/calcado-034.jpg,24-09-20,Calcado,calcado-04,Preto,Dia,TRUE
augmentation/originalGrayDataset/Calcado/calcado-035.jpg,24-09-20,Calcado,calcado-04,Preto,Dia,TRUE
augmentation/originalGrayDataset/Calcado/calcado-036.jpg,24-09-20,Calcado,calcado-04,Preto,Dia,TRUE
augmentation/originalGrayDataset/Calcado/calcado-037.jpg,24-09-20,Calcado,calcado-01,Branco,Dia,FALSE
augmentation/originalGrayDataset/Calcado/calcado-038.jpg,24-09-20,Calcado,calcado-01,Branco,Dia,FALSE
augmentation/originalGrayDataset/Calcado/calcado-039.jpg,24-09-20,Calcado,calcado-01,Branco,Dia,FALSE
augmentation/originalGrayDataset/Calcado/calcado-040.jpg,24-09-20,Calcado,calcado-02,Branco,Dia,FALSE
augmentation/originalGrayDataset/Calcado/calcado-041.jpg,24-09-20,Calcado,calcado-02,Branco,Dia,FALSE
augmentation/originalGrayDataset/Calcado/calcado-042.jpg,24-09-20,Calcado,calcado-02,Branco,Dia,FALSE
augmentation/originalGrayDataset/Calcado/calcado-043.jpg,24-09-20,Calcado,calcado-03,Branco,Dia,FALSE
augmentation/originalGrayDataset/Calcado/calcado-044.jpg,24-09-20,Calcado,calcado-03,Branco,Dia,FALSE
augmentation/originalGrayDataset/Calcado/calcado-045.jpg,24-09-20,Calcado,calcado-03,Branco,Dia,FALSE
augmentation/originalGrayDataset/Calcado/calcado-046.jpg,24-09-20,Calcado,calcado-04,Branco,Dia,FALSE
augmentation/originalGrayDataset/Calcado/calcado-047.jpg,24-09-20,Calcado,calcado-04,Branco,Dia,FALSE
augmentation/originalGrayDataset/Calcado/calcado-048.jpg,24-09-20,Calcado,calcado-04,Branco,Dia,FALSE
